Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,147.0,-66.0,-90.0,top
C2,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,133.0,-66.0,-90.0,top
C3,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,119.0,-66.0,-90.0,top
C4,100u,CP_Elec_5x5.4,144.0,-50.0,90.0,top
C5,100u,CP_Elec_5x5.4,130.0,-50.0,90.0,top
C6,100u,CP_Elec_5x5.4,116.0,-50.0,90.0,top
C7,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,137.0,-62.0,180.0,top
C8,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.0,-52.0,90.0,top
C9,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.0,-62.0,180.0,top
C10,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.0,-52.0,90.0,top
C11,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,110.0,-64.0,-90.0,top
C12,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.0,-52.0,90.0,top
C13,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.0,-52.0,90.0,top
C14,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,125.0,-52.0,90.0,top
C15,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,111.0,-52.0,90.0,top
C16,22n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,137.0,-58.0,0.0,top
C17,22n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.0,-58.0,0.0,top
C18,22n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,110.0,-58.0,90.0,top
C19,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,141.0,-66.0,-90.0,top
C20,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.0,-66.0,-90.0,top
C21,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,113.0,-66.0,-90.0,top
C22,0.33u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.0,-105.0,0.0,top
C23,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.0,-100.0,0.0,top
C24,20p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,153.0,-79.7,0.0,top
C25,20p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,153.0,-88.0,180.0,top
C26,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.0,-88.0,0.0,top
