Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",147.000000,-66.000000,-90.000000,top
"C2","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.000000,-66.000000,-90.000000,top
"C3","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.000000,-66.000000,-90.000000,top
"C4","100u","CP_Elec_5x5.4",144.000000,-50.000000,90.000000,top
"C5","100u","CP_Elec_5x5.4",130.000000,-50.000000,90.000000,top
"C6","100u","CP_Elec_5x5.4",116.000000,-50.000000,90.000000,top
"C7","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",137.000000,-62.000000,180.000000,top
"C8","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",139.000000,-52.000000,90.000000,top
"C9","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.000000,-62.000000,180.000000,top
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",135.000000,-52.000000,90.000000,top
"C11","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",110.000000,-64.000000,-90.000000,top
"C12","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.000000,-52.000000,90.000000,top
"C13","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",149.000000,-52.000000,90.000000,top
"C14","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",125.000000,-52.000000,90.000000,top
"C15","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.000000,-52.000000,90.000000,top
"C16","22n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",137.000000,-58.000000,0.000000,top
"C17","22n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.000000,-58.000000,0.000000,top
"C18","22n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",110.000000,-58.000000,90.000000,top
"C19","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",141.000000,-66.000000,-90.000000,top
"C20","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.000000,-66.000000,-90.000000,top
"C21","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",113.000000,-66.000000,-90.000000,top
"C22","0.33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",149.000000,-103.000000,90.000000,top
"C23","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",137.000000,-103.000000,-90.000000,top
"C24","20p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",153.000000,-79.700000,0.000000,top
"C25","20p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",153.000000,-88.000000,180.000000,top
"C26","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.000000,-91.000000,0.000000,top
"C27","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.000000,-86.000000,0.000000,top
"C28","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",153.000000,-92.000000,180.000000,top
"C29","C","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",128.000000,-97.000000,-90.000000,top
"C30","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",124.010000,-101.980000,180.000000,top
"D1","M1EN","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",118.000000,-75.000000,180.000000,top
"D2","M1STEP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",118.000000,-71.000000,180.000000,top
"D3","M2EN","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",132.000000,-75.000000,180.000000,top
"D4","M2STEP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",132.000000,-71.000000,180.000000,top
"D5","M3EN","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",146.000000,-75.000000,180.000000,top
"D6","M3STEP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",146.000000,-71.000000,180.000000,top
"D7","PWR","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",153.000000,-100.000000,0.000000,top
"D8","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",158.000000,-42.487500,0.000000,top
"D9","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",158.000000,-55.000000,0.000000,top
"D10","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",158.000000,-67.000000,0.000000,top
"FB1","FerriteBead","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.010000,-90.980000,180.000000,top
"FB2","FerriteBead","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",111.010000,-103.980000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10104110_Horizontal",110.000000,-96.000000,-90.000000,top
"R1","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",133.000000,-101.000000,0.000000,top
"R2","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",133.000000,-105.000000,0.000000,top
"R3","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",153.000000,-96.000000,180.000000,top
"R4","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.000000,-75.000000,0.000000,top
"R5","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.000000,-71.000000,0.000000,top
"R6","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.000000,-75.000000,0.000000,top
"R7","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.000000,-71.000000,0.000000,top
"R8","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.000000,-75.000000,0.000000,top
"R9","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.000000,-71.000000,0.000000,top
"R10","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",153.000000,-104.000000,0.000000,top
"R11","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.000000,-46.487500,0.000000,top
"R12","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.000000,-59.000000,0.000000,top
"R13","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.000000,-71.000000,0.000000,top
"R14","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",153.000000,-49.000000,-90.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.000000,-51.000000,180.000000,top
"R16","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.000000,-63.000000,180.000000,top
"R17","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.010000,-96.980000,0.000000,top
"R18","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.010000,-94.380000,0.000000,top
"R19","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.000000,-82.000000,90.000000,top
"R20","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.000000,-76.000000,90.000000,top
"R21","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.000000,-95.000000,90.000000,top
"R22","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.000000,-89.000000,90.000000,top
"RV1","CG0603MLC-05E","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",116.010000,-100.980000,-90.000000,top
