"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R20,R21,R22,R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"0";;;
2;"C1,C11,C3,C7,C9,C2,C14,C13,C10,C8,C15,C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";12;"100n";;;
3;"C20,C21,C19";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"2.2u";;;
4;"C29";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"C";;;
5;"C26,C27,C23,C28,C30";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"0.1u";;;
6;"R5,R12,R4,R9,R7,R8,R10,R6,R13,R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";10;"R";;;
7;"C5,C6,C4";"CP_Elec_5x5.4";3;"100u";;;
8;"J8,J9,J10";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";3;"Conn_01x04";;;
9;"C25,C24";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"20p";;;
10;"FB1,FB2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"FerriteBead";;;
11;"J11";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
12;"U3,U2,U1";"TMC2208-LA";3;"TMC2208";;;
13;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
14;"C22";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.33u";;;
15;"Y1";"XTAL_ECS-160-12-33-AGN-TR";1;"ECS-160-12-33-AGN-TR";;;
16;"D6";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M3STEP";;;
17;"D8,D9,D10";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED";;;
18;"R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1k";;;
19;"R3,R15,R16,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"10k";;;
20;"C18,C17,C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"22n";;;
21;"U5";"TQFP-64_14x14mm_P0.8mm";1;"ATmega2561";;;
22;"U6";"MSOP-10_3x3mm_P0.5mm";1;"CH340E";;;
23;"J3,J5,J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";3;"Conn_01x02";;;
24;"D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M2EN";;;
25;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M2STEP";;;
26;"R18,R17";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"22";;;
27;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M1EN";;;
28;"RV2,RV1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"CG0603MLC-05E";;;
29;"U4";"SOT-89-3_Handsoldering";1;"uA7805";;;
30;"J7,J6";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03";;;
31;"D7";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"PWR";;;
32;"D5";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M3EN";;;
33;"J2";"USB_Micro-B_Amphenol_10104110_Horizontal";1;"USB_B_Micro";;;
34;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"M1STEP";;;
